,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
574,Wallows,These Days,4gZDCOFuLCxCRWNhSEcOtJ,65,0.655,0.668,0,-6.733,1,0.0272,0.0398,0.0302,0.0759,0.867,93.003,202627,4
575,Cosculluela,Madura,5n2XTRsYFlZwNBp06KAjDX,74,0.794,0.546,11,-7.729,1,0.314,0.132,1.58e-06,0.139,0.759,175.96,190996,4
576,Nipsey Hussle,Double Up (feat. Belly and Dom Kennedy),4iVD0fTHGxV9JWloujsL3s,64,0.604,0.436,2,-8.32,1,0.188,0.0544,0.000242,0.162,0.239,107.978,361280,4
577,Alina Baraz,Floating (feat. Khalid),2vLWF4yFhTHQZVwrPTjH1s,66,0.66,0.447,1,-9.026,0,0.0482,0.81,2.15e-06,0.11,0.578,84.95,174490,4
578,Maroon 5,Girls Like You,6OEHjJJvdkk1Ln0p0AZdyz,62,0.611,0.462,0,-7.054,1,0.0646,0.558,1.01e-06,0.131,0.377,59.635,215230,4
579,Devin Dawson,All On Me,2mfahQ0EaaZWq4cFNg6A1o,62,0.634,0.668,5,-5.488,1,0.0291,0.14,0.0,0.216,0.635,80.989,224627,4
580,BTS,IDOL,1e8J3XClxZbFmvIHLI8CE4,74,0.733,0.855,9,-3.211,1,0.118,0.00481,0.0,0.123,0.42,126.035,222732,4
581,Shinedown,DEVIL,2hEYslbdYWFSIA6JboUvnR,64,0.354,0.942,7,-3.245,1,0.237,0.00039,6.36e-06,0.431,0.242,119.992,207987,4
582,Bazzi,Beautiful,5TVirkSwFEXF1nLJEebe2I,67,0.666,0.677,2,-5.743,1,0.0326,0.214,0.0,0.0979,0.178,100.014,178242,4
583,Maluma,Felices los 4,1RouRzlg8OKFeqc6LvdxmB,72,0.766,0.756,5,-5.861,1,0.132,0.213,0.0,0.349,0.716,94.027,230000,4
584,Mac Miller,Dunno,3YnwIp2b99p3e5dsFTXIIx,65,0.622,0.229,1,-11.322,1,0.0445,0.768,0.00906,0.134,0.0998,81.87,237093,4
585,Alec Benjamin,Outrunning Karma,2W0AJEbIC2vdZTV2nVSAsg,66,0.416,0.649,11,-5.271,0,0.0385,0.655,2.82e-06,0.12,0.474,112.482,188851,3
586,Lucy Dacus,Night Shift,1yYlpGuBiRRf33e1gY61bN,64,0.48,0.311,9,-7.887,1,0.0258,0.313,1.52e-05,0.113,0.162,86.15,391829,4
587,SiR,D'Evils,0wY9rA9fJkuESyYm9uzVK5,64,0.784,0.586,1,-3.417,1,0.187,0.00558,0.000286,0.106,0.656,132.169,171818,4
588,Lil Donald,Do Better,4u81A6n7C0MonCyMx4lmMy,62,0.802,0.42,5,-9.131,0,0.102,0.714,4.06e-06,0.11,0.603,130.121,206557,4
589,Maroon 5,Cold (feat. Future),7gwLQ4tZ5UdZ7qNcDyJ8wr,63,0.693,0.717,9,-6.346,0,0.107,0.14,0.0,0.0464,0.412,99.836,234308,4
590,Pat Barrett,Build My Life,2UeOsbOZ3h1QxUX2Jfw42j,64,0.431,0.591,8,-6.198,1,0.0298,0.112,0.0,0.129,0.274,144.012,244893,4
591,21 Savage,pad lock,5stbfxsPi8gcOH2LCuA4Le,63,0.959,0.55,5,-8.012,0,0.197,0.0187,0.0,0.112,0.798,130.024,191360,4
592,Joji,I Don't Wanna Waste My Time,72Qo3U5apeuv91j9BEqJBM,66,0.403,0.234,4,-17.865,1,0.0531,0.761,0.0618,0.123,0.13,144.226,164430,4
593,Ruel,Dazed & Confused,2pyjbGTpJCPjMYwCbdymiF,66,0.688,0.5,2,-7.411,1,0.138,0.102,0.0,0.355,0.418,127.906,189608,3
594,Quando Rondo,ABG,1mHLxIGKfmWBdH1bZzO7pW,62,0.722,0.81,5,-3.395,1,0.373,0.482,0.0,0.0954,0.937,176.108,234556,4
595,girl in red,4am,75enpZYDT6k0PNKu6SJ4W5,67,0.418,0.392,9,-13.771,1,0.0383,0.663,0.335,0.204,0.295,168.902,110862,4
596,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),6mQLN3zRtAp6ovjusyYKrV,74,0.67,0.743,10,-4.993,1,0.0393,0.237,0.0,0.465,0.571,125.944,218293,4
597,Travis Scott,STOP TRYING TO BE GOD,1xYpVRspgaLxdJLOTQkTjg,67,0.588,0.567,4,-3.738,0,0.0628,0.221,0.0,0.135,0.113,150.009,338438,4
598,City Girls,Twerk (feat. Cardi B),0RRm4OS5ymfZryXBuj0G2m,64,0.788,0.842,4,-4.006,0,0.142,0.121,0.00112,0.166,0.481,190.077,166476,4
599,Morgan Wallen,Had Me By Halftime,3xca35T5BVLg4ePuVzc7wW,61,0.49,0.889,6,-2.94,1,0.0363,0.109,0.0,0.168,0.672,144.089,172080,4
600,Raymix,Oye Mujer,37kCg5izHEMZ66xGdMVG5L,67,0.746,0.585,4,-5.937,0,0.0491,0.168,0.0,0.264,0.948,182.018,259240,4
601,Joji,R.I.P. (feat. Trippie Redd),4wJ8dJKBAxdDe5cUx8K779,65,0.716,0.515,11,-9.651,0,0.0305,0.618,0.257,0.136,0.383,99.284,158726,4
602,LANY,Malibu Nights,0Eqg0CQ7bK3RQIMPw1A7pl,74,0.559,0.422,11,-11.89,1,0.195,0.701,1.99e-06,0.0853,0.191,74.002,286928,4
603,Eminem,The Ringer,2jt2WxXMCD4zjACthkJQVE,68,0.939,0.551,1,-9.126,1,0.291,0.0311,0.0,0.192,0.42,118.552,337941,4
604,The Neighbourhood,Nervous,113xf7t4qNM7038YJvauik,69,0.589,0.614,0,-7.528,0,0.0426,0.0213,0.165,0.31,0.318,119.837,245000,4
